epoch,label,phase,pid,comm,cpu,mem,rss_kb
1783238793.440865000,tiny_same_clean_rep1,before,909,codex,0.0,0.0,1616
1783238793.440865000,tiny_same_clean_rep1,before,4630,codex,0.0,0.0,640
1783238793.440865000,tiny_same_clean_rep1,before,20460,trustd,0.0,0.0,5792
1783238793.440865000,tiny_same_clean_rep1,before,20461,trustd,0.0,0.1,9152
1783238793.440865000,tiny_same_clean_rep1,before,20462,trustd,0.0,0.0,3344
1783238793.440865000,tiny_same_clean_rep1,before,22673,codex,0.0,0.0,2192
1783238793.440865000,tiny_same_clean_rep1,before,36402,codex,0.0,0.0,672
1783238793.440865000,tiny_same_clean_rep1,before,46907,codex,0.0,0.0,4480
1783238793.440865000,tiny_same_clean_rep1,before,67200,codex,0.0,0.0,5984
1783238793.440865000,tiny_same_clean_rep1,before,72530,syspolicyd,3.2,0.5,80800
1783238793.440865000,tiny_same_clean_rep1,before,77229,syspolicyd,6.1,0.0,2560
1783238793.440865000,tiny_same_clean_rep1,before,88895,trustd,3.9,0.1,17216
1783238793.440865000,tiny_same_clean_rep1,before,89129,trustd,0.4,0.1,15168
1783238793.440865000,tiny_same_clean_rep1,before,97096,codex,1.3,1.7,292240
1783238793.440865000,tiny_same_clean_rep1,before,97226,codex,0.0,0.3,49408
1783238793.907618000,tiny_same_clean_rep1,after,909,codex,0.0,0.0,1616
1783238793.907618000,tiny_same_clean_rep1,after,4630,codex,0.0,0.0,640
1783238793.907618000,tiny_same_clean_rep1,after,20460,trustd,0.0,0.0,5792
1783238793.907618000,tiny_same_clean_rep1,after,20461,trustd,0.0,0.1,9152
1783238793.907618000,tiny_same_clean_rep1,after,20462,trustd,0.0,0.0,3344
1783238793.907618000,tiny_same_clean_rep1,after,22673,codex,0.0,0.0,2192
1783238793.907618000,tiny_same_clean_rep1,after,36402,codex,0.0,0.0,672
1783238793.907618000,tiny_same_clean_rep1,after,46907,codex,0.0,0.0,4480
1783238793.907618000,tiny_same_clean_rep1,after,67200,codex,0.0,0.0,5984
1783238793.907618000,tiny_same_clean_rep1,after,72530,syspolicyd,3.4,0.5,80880
1783238793.907618000,tiny_same_clean_rep1,after,77229,syspolicyd,1.9,0.0,2576
1783238793.907618000,tiny_same_clean_rep1,after,88895,trustd,2.9,0.1,17216
1783238793.907618000,tiny_same_clean_rep1,after,89129,trustd,0.0,0.1,15168
1783238793.907618000,tiny_same_clean_rep1,after,97096,codex,4.8,1.7,292240
1783238793.907618000,tiny_same_clean_rep1,after,97226,codex,0.0,0.3,49408
1783238793.927809000,tiny_same_quarantined_rep1,before,909,codex,0.0,0.0,1616
1783238793.927809000,tiny_same_quarantined_rep1,before,4630,codex,0.0,0.0,640
1783238793.927809000,tiny_same_quarantined_rep1,before,20460,trustd,0.0,0.0,5792
1783238793.927809000,tiny_same_quarantined_rep1,before,20461,trustd,0.0,0.1,9152
1783238793.927809000,tiny_same_quarantined_rep1,before,20462,trustd,0.0,0.0,3344
1783238793.927809000,tiny_same_quarantined_rep1,before,22673,codex,0.0,0.0,2192
1783238793.927809000,tiny_same_quarantined_rep1,before,36402,codex,0.0,0.0,672
1783238793.927809000,tiny_same_quarantined_rep1,before,46907,codex,0.0,0.0,4480
1783238793.927809000,tiny_same_quarantined_rep1,before,67200,codex,0.0,0.0,5984
1783238793.927809000,tiny_same_quarantined_rep1,before,72530,syspolicyd,4.9,0.5,80880
1783238793.927809000,tiny_same_quarantined_rep1,before,77229,syspolicyd,11.2,0.0,2576
1783238793.927809000,tiny_same_quarantined_rep1,before,88895,trustd,2.4,0.1,17216
1783238793.927809000,tiny_same_quarantined_rep1,before,89129,trustd,0.0,0.1,15168
1783238793.927809000,tiny_same_quarantined_rep1,before,97096,codex,2.9,1.7,292240
1783238793.927809000,tiny_same_quarantined_rep1,before,97226,codex,0.0,0.3,49408
1783238839.565610000,tiny_same_quarantined_rep1,after,909,codex,0.0,0.0,1616
1783238839.565610000,tiny_same_quarantined_rep1,after,4630,codex,0.0,0.0,640
1783238839.565610000,tiny_same_quarantined_rep1,after,20460,trustd,0.0,0.0,5792
1783238839.565610000,tiny_same_quarantined_rep1,after,20461,trustd,0.0,0.1,9152
1783238839.565610000,tiny_same_quarantined_rep1,after,20462,trustd,0.0,0.0,3344
1783238839.565610000,tiny_same_quarantined_rep1,after,22673,codex,0.0,0.0,2192
1783238839.565610000,tiny_same_quarantined_rep1,after,36402,codex,0.0,0.0,672
1783238839.565610000,tiny_same_quarantined_rep1,after,46907,codex,0.0,0.0,4480
1783238839.565610000,tiny_same_quarantined_rep1,after,67200,codex,0.0,0.0,5984
1783238839.565610000,tiny_same_quarantined_rep1,after,72530,syspolicyd,0.0,0.5,83568
1783238839.565610000,tiny_same_quarantined_rep1,after,77229,syspolicyd,0.0,0.0,2576
1783238839.565610000,tiny_same_quarantined_rep1,after,88895,trustd,0.8,0.1,17168
1783238839.565610000,tiny_same_quarantined_rep1,after,89129,trustd,0.0,0.1,15152
1783238839.565610000,tiny_same_quarantined_rep1,after,97096,codex,0.5,1.7,292320
1783238839.565610000,tiny_same_quarantined_rep1,after,97226,codex,0.0,0.3,49312
1783238839.608233000,tiny_many_clean_rep1,before,909,codex,0.0,0.0,1616
1783238839.608233000,tiny_many_clean_rep1,before,4630,codex,0.0,0.0,640
1783238839.608233000,tiny_many_clean_rep1,before,20460,trustd,0.0,0.0,5792
1783238839.608233000,tiny_many_clean_rep1,before,20461,trustd,0.0,0.1,9152
1783238839.608233000,tiny_many_clean_rep1,before,20462,trustd,0.0,0.0,3344
1783238839.608233000,tiny_many_clean_rep1,before,22673,codex,0.0,0.0,2192
1783238839.608233000,tiny_many_clean_rep1,before,36402,codex,0.0,0.0,672
1783238839.608233000,tiny_many_clean_rep1,before,46907,codex,0.0,0.0,4480
1783238839.608233000,tiny_many_clean_rep1,before,67200,codex,0.0,0.0,5984
1783238839.608233000,tiny_many_clean_rep1,before,72530,syspolicyd,0.0,0.5,83568
1783238839.608233000,tiny_many_clean_rep1,before,77229,syspolicyd,0.0,0.0,2576
1783238839.608233000,tiny_many_clean_rep1,before,88895,trustd,0.8,0.1,17168
1783238839.608233000,tiny_many_clean_rep1,before,89129,trustd,0.0,0.1,15152
1783238839.608233000,tiny_many_clean_rep1,before,97096,codex,0.5,1.7,292320
1783238839.608233000,tiny_many_clean_rep1,before,97226,codex,0.0,0.3,49312
1783238845.548444000,tiny_many_clean_rep1,after,909,codex,0.0,0.0,1616
1783238845.548444000,tiny_many_clean_rep1,after,4630,codex,0.0,0.0,640
1783238845.548444000,tiny_many_clean_rep1,after,20460,trustd,0.0,0.0,5792
1783238845.548444000,tiny_many_clean_rep1,after,20461,trustd,0.0,0.1,9152
1783238845.548444000,tiny_many_clean_rep1,after,20462,trustd,0.0,0.0,3344
1783238845.548444000,tiny_many_clean_rep1,after,22673,codex,0.0,0.0,2192
1783238845.548444000,tiny_many_clean_rep1,after,36402,codex,0.0,0.0,672
1783238845.548444000,tiny_many_clean_rep1,after,46907,codex,0.0,0.0,4480
1783238845.548444000,tiny_many_clean_rep1,after,67200,codex,0.0,0.0,5984
1783238845.548444000,tiny_many_clean_rep1,after,72530,syspolicyd,5.5,0.5,84208
1783238845.548444000,tiny_many_clean_rep1,after,77229,syspolicyd,3.7,0.0,2592
1783238845.548444000,tiny_many_clean_rep1,after,88895,trustd,1.2,0.1,17184
1783238845.548444000,tiny_many_clean_rep1,after,89129,trustd,0.0,0.1,15136
1783238845.548444000,tiny_many_clean_rep1,after,97096,codex,0.1,1.7,292288
1783238845.548444000,tiny_many_clean_rep1,after,97226,codex,0.0,0.3,49328
1783238845.569604000,tiny_many_quarantined_rep1,before,909,codex,0.0,0.0,1616
1783238845.569604000,tiny_many_quarantined_rep1,before,4630,codex,0.0,0.0,640
1783238845.569604000,tiny_many_quarantined_rep1,before,20460,trustd,0.0,0.0,5792
1783238845.569604000,tiny_many_quarantined_rep1,before,20461,trustd,0.0,0.1,9152
1783238845.569604000,tiny_many_quarantined_rep1,before,20462,trustd,0.0,0.0,3344
1783238845.569604000,tiny_many_quarantined_rep1,before,22673,codex,0.0,0.0,2192
1783238845.569604000,tiny_many_quarantined_rep1,before,36402,codex,0.0,0.0,672
1783238845.569604000,tiny_many_quarantined_rep1,before,46907,codex,0.0,0.0,4480
1783238845.569604000,tiny_many_quarantined_rep1,before,67200,codex,0.0,0.0,5984
1783238845.569604000,tiny_many_quarantined_rep1,before,72530,syspolicyd,5.5,0.5,84208
1783238845.569604000,tiny_many_quarantined_rep1,before,77229,syspolicyd,3.7,0.0,2592
1783238845.569604000,tiny_many_quarantined_rep1,before,88895,trustd,1.2,0.1,17184
1783238845.569604000,tiny_many_quarantined_rep1,before,89129,trustd,0.0,0.1,15136
1783238845.569604000,tiny_many_quarantined_rep1,before,97096,codex,0.1,1.7,292288
1783238845.569604000,tiny_many_quarantined_rep1,before,97226,codex,0.0,0.3,49328
1783238895.926110000,tiny_many_quarantined_rep1,after,909,codex,0.0,0.0,1616
1783238895.926110000,tiny_many_quarantined_rep1,after,4630,codex,0.0,0.0,640
1783238895.926110000,tiny_many_quarantined_rep1,after,20460,trustd,0.0,0.0,5792
1783238895.926110000,tiny_many_quarantined_rep1,after,20461,trustd,0.0,0.1,9152
1783238895.926110000,tiny_many_quarantined_rep1,after,20462,trustd,0.0,0.0,3344
1783238895.926110000,tiny_many_quarantined_rep1,after,22673,codex,0.0,0.0,2192
1783238895.926110000,tiny_many_quarantined_rep1,after,36402,codex,0.0,0.0,672
1783238895.926110000,tiny_many_quarantined_rep1,after,46907,codex,0.0,0.0,4480
1783238895.926110000,tiny_many_quarantined_rep1,after,67200,codex,0.0,0.0,5984
1783238895.926110000,tiny_many_quarantined_rep1,after,72530,syspolicyd,0.0,0.5,87168
1783238895.926110000,tiny_many_quarantined_rep1,after,77229,syspolicyd,0.0,0.0,2592
1783238895.926110000,tiny_many_quarantined_rep1,after,88895,trustd,0.9,0.1,17168
1783238895.926110000,tiny_many_quarantined_rep1,after,89129,trustd,0.0,0.1,15152
1783238895.926110000,tiny_many_quarantined_rep1,after,97096,codex,14.7,1.7,292544
1783238895.926110000,tiny_many_quarantined_rep1,after,97226,codex,0.0,0.3,49360
1783238895.970744000,tiny_same_clean_rep2,before,909,codex,0.0,0.0,1616
1783238895.970744000,tiny_same_clean_rep2,before,4630,codex,0.0,0.0,640
1783238895.970744000,tiny_same_clean_rep2,before,20460,trustd,0.0,0.0,5792
1783238895.970744000,tiny_same_clean_rep2,before,20461,trustd,0.0,0.1,9152
1783238895.970744000,tiny_same_clean_rep2,before,20462,trustd,0.0,0.0,3344
1783238895.970744000,tiny_same_clean_rep2,before,22673,codex,0.0,0.0,2192
1783238895.970744000,tiny_same_clean_rep2,before,36402,codex,0.0,0.0,672
1783238895.970744000,tiny_same_clean_rep2,before,46907,codex,0.0,0.0,4480
1783238895.970744000,tiny_same_clean_rep2,before,67200,codex,0.0,0.0,5984
1783238895.970744000,tiny_same_clean_rep2,before,72530,syspolicyd,0.0,0.5,87168
1783238895.970744000,tiny_same_clean_rep2,before,77229,syspolicyd,0.0,0.0,2592
1783238895.970744000,tiny_same_clean_rep2,before,88895,trustd,0.9,0.1,17168
1783238895.970744000,tiny_same_clean_rep2,before,89129,trustd,0.0,0.1,15152
1783238895.970744000,tiny_same_clean_rep2,before,97096,codex,14.7,1.7,292544
1783238895.970744000,tiny_same_clean_rep2,before,97226,codex,0.0,0.3,49360
1783238896.370603000,tiny_same_clean_rep2,after,909,codex,0.0,0.0,1616
1783238896.370603000,tiny_same_clean_rep2,after,4630,codex,0.0,0.0,640
1783238896.370603000,tiny_same_clean_rep2,after,20460,trustd,0.0,0.0,5792
1783238896.370603000,tiny_same_clean_rep2,after,20461,trustd,0.0,0.1,9152
1783238896.370603000,tiny_same_clean_rep2,after,20462,trustd,0.0,0.0,3344
1783238896.370603000,tiny_same_clean_rep2,after,22673,codex,0.0,0.0,2192
1783238896.370603000,tiny_same_clean_rep2,after,36402,codex,0.0,0.0,672
1783238896.370603000,tiny_same_clean_rep2,after,46907,codex,0.0,0.0,4480
1783238896.370603000,tiny_same_clean_rep2,after,67200,codex,0.0,0.0,5984
1783238896.370603000,tiny_same_clean_rep2,after,72530,syspolicyd,11.2,0.5,87376
1783238896.370603000,tiny_same_clean_rep2,after,77229,syspolicyd,12.6,0.0,2592
1783238896.370603000,tiny_same_clean_rep2,after,88895,trustd,2.2,0.1,17136
1783238896.370603000,tiny_same_clean_rep2,after,89129,trustd,0.4,0.1,15136
1783238896.370603000,tiny_same_clean_rep2,after,97096,codex,2.5,1.7,292512
1783238896.370603000,tiny_same_clean_rep2,after,97226,codex,0.0,0.3,49360
1783238896.392728000,tiny_same_quarantined_rep2,before,909,codex,0.0,0.0,1616
1783238896.392728000,tiny_same_quarantined_rep2,before,4630,codex,0.0,0.0,640
1783238896.392728000,tiny_same_quarantined_rep2,before,20460,trustd,0.0,0.0,5792
1783238896.392728000,tiny_same_quarantined_rep2,before,20461,trustd,0.0,0.1,9152
1783238896.392728000,tiny_same_quarantined_rep2,before,20462,trustd,0.0,0.0,3344
1783238896.392728000,tiny_same_quarantined_rep2,before,22673,codex,0.0,0.0,2192
1783238896.392728000,tiny_same_quarantined_rep2,before,36402,codex,0.0,0.0,672
1783238896.392728000,tiny_same_quarantined_rep2,before,46907,codex,0.0,0.0,4480
1783238896.392728000,tiny_same_quarantined_rep2,before,67200,codex,0.0,0.0,5984
1783238896.392728000,tiny_same_quarantined_rep2,before,72530,syspolicyd,11.2,0.5,87376
1783238896.392728000,tiny_same_quarantined_rep2,before,77229,syspolicyd,12.6,0.0,2608
1783238896.392728000,tiny_same_quarantined_rep2,before,88895,trustd,2.2,0.1,17136
1783238896.392728000,tiny_same_quarantined_rep2,before,89129,trustd,0.4,0.1,15136
1783238896.392728000,tiny_same_quarantined_rep2,before,97096,codex,2.5,1.7,292512
1783238896.392728000,tiny_same_quarantined_rep2,before,97226,codex,0.0,0.3,49360
1783238946.761763000,tiny_same_quarantined_rep2,after,909,codex,0.0,0.0,1616
1783238946.761763000,tiny_same_quarantined_rep2,after,4630,codex,0.0,0.0,640
1783238946.761763000,tiny_same_quarantined_rep2,after,20460,trustd,0.0,0.0,5792
1783238946.761763000,tiny_same_quarantined_rep2,after,20461,trustd,0.0,0.1,9152
1783238946.761763000,tiny_same_quarantined_rep2,after,20462,trustd,0.0,0.0,3344
1783238946.761763000,tiny_same_quarantined_rep2,after,22673,codex,0.0,0.0,2192
1783238946.761763000,tiny_same_quarantined_rep2,after,36402,codex,0.0,0.0,672
1783238946.761763000,tiny_same_quarantined_rep2,after,46907,codex,0.0,0.0,4480
1783238946.761763000,tiny_same_quarantined_rep2,after,67200,codex,0.0,0.0,5984
1783238946.761763000,tiny_same_quarantined_rep2,after,72530,syspolicyd,0.0,0.5,87264
1783238946.761763000,tiny_same_quarantined_rep2,after,77229,syspolicyd,0.0,0.0,2608
1783238946.761763000,tiny_same_quarantined_rep2,after,88895,trustd,3.6,0.1,17168
1783238946.761763000,tiny_same_quarantined_rep2,after,89129,trustd,0.0,0.1,15200
1783238946.761763000,tiny_same_quarantined_rep2,after,97096,codex,0.4,1.7,292576
1783238946.761763000,tiny_same_quarantined_rep2,after,97226,codex,0.0,0.3,49312
1783238946.805127000,tiny_many_clean_rep2,before,909,codex,0.0,0.0,1616
1783238946.805127000,tiny_many_clean_rep2,before,4630,codex,0.0,0.0,640
1783238946.805127000,tiny_many_clean_rep2,before,20460,trustd,0.0,0.0,5792
1783238946.805127000,tiny_many_clean_rep2,before,20461,trustd,0.0,0.1,9152
1783238946.805127000,tiny_many_clean_rep2,before,20462,trustd,0.0,0.0,3344
1783238946.805127000,tiny_many_clean_rep2,before,22673,codex,0.0,0.0,2192
1783238946.805127000,tiny_many_clean_rep2,before,36402,codex,0.0,0.0,672
1783238946.805127000,tiny_many_clean_rep2,before,46907,codex,0.0,0.0,4480
1783238946.805127000,tiny_many_clean_rep2,before,67200,codex,0.0,0.0,5984
1783238946.805127000,tiny_many_clean_rep2,before,72530,syspolicyd,0.0,0.5,87264
1783238946.805127000,tiny_many_clean_rep2,before,77229,syspolicyd,0.0,0.0,2608
