epoch,label,phase,pid,comm,cpu,mem,rss_kb
1783227492.523670000,real_clean_rep1,before,512,syspolicyd,0.0,0.3,43232
1783227492.523670000,real_clean_rep1,before,909,codex,0.0,0.0,1616
1783227492.523670000,real_clean_rep1,before,4630,codex,0.0,0.0,640
1783227492.523670000,real_clean_rep1,before,20460,trustd,0.0,0.0,8320
1783227492.523670000,real_clean_rep1,before,20461,trustd,0.0,0.1,12256
1783227492.523670000,real_clean_rep1,before,20462,trustd,0.0,0.0,3344
1783227492.523670000,real_clean_rep1,before,22673,codex,0.0,0.0,2208
1783227492.523670000,real_clean_rep1,before,23030,codex,0.0,0.0,7792
1783227492.523670000,real_clean_rep1,before,36402,codex,0.0,0.0,672
1783227492.523670000,real_clean_rep1,before,46907,codex,0.0,0.0,4480
1783227492.523670000,real_clean_rep1,before,50555,syspolicyd,0.0,0.0,2560
1783227492.523670000,real_clean_rep1,before,88895,trustd,0.0,0.1,17152
1783227492.523670000,real_clean_rep1,before,89129,trustd,0.0,0.1,14960
1783227492.523670000,real_clean_rep1,before,97096,codex,0.0,2.2,365104
1783227492.523670000,real_clean_rep1,before,97226,codex,0.0,0.3,48720
1783227492.946882000,real_clean_rep1,after,512,syspolicyd,0.8,0.3,43232
1783227492.946882000,real_clean_rep1,after,909,codex,0.0,0.0,1616
1783227492.946882000,real_clean_rep1,after,4630,codex,0.0,0.0,640
1783227492.946882000,real_clean_rep1,after,20460,trustd,0.0,0.0,8320
1783227492.946882000,real_clean_rep1,after,20461,trustd,0.0,0.1,12256
1783227492.946882000,real_clean_rep1,after,20462,trustd,0.0,0.0,3344
1783227492.946882000,real_clean_rep1,after,22673,codex,0.0,0.0,2208
1783227492.946882000,real_clean_rep1,after,23030,codex,0.0,0.0,7792
1783227492.946882000,real_clean_rep1,after,36402,codex,0.0,0.0,672
1783227492.946882000,real_clean_rep1,after,46907,codex,0.0,0.0,4480
1783227492.946882000,real_clean_rep1,after,50555,syspolicyd,1.7,0.0,2560
1783227492.946882000,real_clean_rep1,after,88895,trustd,0.0,0.1,17152
1783227492.946882000,real_clean_rep1,after,89129,trustd,0.0,0.1,14960
1783227492.946882000,real_clean_rep1,after,97096,codex,1.1,2.2,365104
1783227492.946882000,real_clean_rep1,after,97226,codex,0.0,0.3,48720
1783227492.965698000,copy_clean_rep1,before,512,syspolicyd,0.8,0.3,43232
1783227492.965698000,copy_clean_rep1,before,909,codex,0.0,0.0,1616
1783227492.965698000,copy_clean_rep1,before,4630,codex,0.0,0.0,640
1783227492.965698000,copy_clean_rep1,before,20460,trustd,0.0,0.0,8320
1783227492.965698000,copy_clean_rep1,before,20461,trustd,0.0,0.1,12256
1783227492.965698000,copy_clean_rep1,before,20462,trustd,0.0,0.0,3344
1783227492.965698000,copy_clean_rep1,before,22673,codex,0.0,0.0,2208
1783227492.965698000,copy_clean_rep1,before,23030,codex,0.0,0.0,7792
1783227492.965698000,copy_clean_rep1,before,36402,codex,0.0,0.0,672
1783227492.965698000,copy_clean_rep1,before,46907,codex,0.0,0.0,4480
1783227492.965698000,copy_clean_rep1,before,50555,syspolicyd,1.7,0.0,2560
1783227492.965698000,copy_clean_rep1,before,88895,trustd,0.0,0.1,17152
1783227492.965698000,copy_clean_rep1,before,89129,trustd,0.0,0.1,14960
1783227492.965698000,copy_clean_rep1,before,97096,codex,1.1,2.2,365104
1783227492.965698000,copy_clean_rep1,before,97226,codex,0.0,0.3,48720
1783227495.468480000,copy_clean_rep1,after,512,syspolicyd,17.0,0.3,43376
1783227495.468480000,copy_clean_rep1,after,909,codex,0.0,0.0,1616
1783227495.468480000,copy_clean_rep1,after,4630,codex,0.0,0.0,640
1783227495.468480000,copy_clean_rep1,after,20460,trustd,0.0,0.0,8320
1783227495.468480000,copy_clean_rep1,after,20461,trustd,0.0,0.1,12256
1783227495.468480000,copy_clean_rep1,after,20462,trustd,0.0,0.0,3344
1783227495.468480000,copy_clean_rep1,after,22673,codex,0.0,0.0,2208
1783227495.468480000,copy_clean_rep1,after,23030,codex,0.0,0.0,7792
1783227495.468480000,copy_clean_rep1,after,36402,codex,0.0,0.0,672
1783227495.468480000,copy_clean_rep1,after,46907,codex,0.0,0.0,4480
1783227495.468480000,copy_clean_rep1,after,50555,syspolicyd,1.2,0.0,2560
1783227495.468480000,copy_clean_rep1,after,88895,trustd,0.0,0.1,17152
1783227495.468480000,copy_clean_rep1,after,89129,trustd,1.6,0.1,15328
1783227495.468480000,copy_clean_rep1,after,97096,codex,0.0,2.2,365104
1783227495.468480000,copy_clean_rep1,after,97226,codex,0.0,0.3,48720
1783227495.487714000,copy_quarantined_rep1,before,512,syspolicyd,17.0,0.3,43376
1783227495.487714000,copy_quarantined_rep1,before,909,codex,0.0,0.0,1616
1783227495.487714000,copy_quarantined_rep1,before,4630,codex,0.0,0.0,640
1783227495.487714000,copy_quarantined_rep1,before,20460,trustd,0.0,0.0,8320
1783227495.487714000,copy_quarantined_rep1,before,20461,trustd,0.0,0.1,12256
1783227495.487714000,copy_quarantined_rep1,before,20462,trustd,0.0,0.0,3344
1783227495.487714000,copy_quarantined_rep1,before,22673,codex,0.0,0.0,2208
1783227495.487714000,copy_quarantined_rep1,before,23030,codex,0.0,0.0,7792
1783227495.487714000,copy_quarantined_rep1,before,36402,codex,0.0,0.0,672
1783227495.487714000,copy_quarantined_rep1,before,46907,codex,0.0,0.0,4480
1783227495.487714000,copy_quarantined_rep1,before,50555,syspolicyd,1.2,0.0,2560
1783227495.487714000,copy_quarantined_rep1,before,88895,trustd,0.0,0.1,17152
1783227495.487714000,copy_quarantined_rep1,before,89129,trustd,1.6,0.1,15328
1783227495.487714000,copy_quarantined_rep1,before,97096,codex,0.0,2.2,365104
1783227495.487714000,copy_quarantined_rep1,before,97226,codex,0.0,0.3,48720
1783227497.413544000,copy_quarantined_rep1,after,512,syspolicyd,39.5,0.3,43280
1783227497.413544000,copy_quarantined_rep1,after,909,codex,0.0,0.0,1616
1783227497.413544000,copy_quarantined_rep1,after,4630,codex,0.0,0.0,640
1783227497.413544000,copy_quarantined_rep1,after,20460,trustd,0.0,0.0,8320
1783227497.413544000,copy_quarantined_rep1,after,20461,trustd,0.0,0.1,12256
1783227497.413544000,copy_quarantined_rep1,after,20462,trustd,0.0,0.0,3344
1783227497.413544000,copy_quarantined_rep1,after,22673,codex,0.0,0.0,2208
1783227497.413544000,copy_quarantined_rep1,after,23030,codex,0.0,0.0,7792
1783227497.413544000,copy_quarantined_rep1,after,36402,codex,0.0,0.0,672
1783227497.413544000,copy_quarantined_rep1,after,46907,codex,0.0,0.0,4480
1783227497.413544000,copy_quarantined_rep1,after,50555,syspolicyd,0.3,0.0,2560
1783227497.413544000,copy_quarantined_rep1,after,88895,trustd,0.0,0.1,17152
1783227497.413544000,copy_quarantined_rep1,after,89129,trustd,1.1,0.1,15328
1783227497.413544000,copy_quarantined_rep1,after,97096,codex,0.6,2.2,365152
1783227497.413544000,copy_quarantined_rep1,after,97226,codex,0.0,0.3,48720
1783227497.433366000,project_clean_rep1,before,512,syspolicyd,25.3,0.3,43280
1783227497.433366000,project_clean_rep1,before,909,codex,0.0,0.0,1616
1783227497.433366000,project_clean_rep1,before,4630,codex,0.0,0.0,640
1783227497.433366000,project_clean_rep1,before,20460,trustd,0.0,0.0,8320
1783227497.433366000,project_clean_rep1,before,20461,trustd,0.0,0.1,12256
1783227497.433366000,project_clean_rep1,before,20462,trustd,0.0,0.0,3344
1783227497.433366000,project_clean_rep1,before,22673,codex,0.0,0.0,2208
1783227497.433366000,project_clean_rep1,before,23030,codex,0.0,0.0,7792
1783227497.433366000,project_clean_rep1,before,36402,codex,0.0,0.0,672
1783227497.433366000,project_clean_rep1,before,46907,codex,0.0,0.0,4480
1783227497.433366000,project_clean_rep1,before,50555,syspolicyd,0.3,0.0,2560
1783227497.433366000,project_clean_rep1,before,88895,trustd,0.0,0.1,17152
1783227497.433366000,project_clean_rep1,before,89129,trustd,0.7,0.1,15328
1783227497.433366000,project_clean_rep1,before,97096,codex,0.4,2.2,365152
1783227497.433366000,project_clean_rep1,before,97226,codex,0.0,0.3,48720
1783227529.541539000,project_clean_rep1,after,512,syspolicyd,130.7,1.9,321648
1783227529.541539000,project_clean_rep1,after,909,codex,0.0,0.0,1616
1783227529.541539000,project_clean_rep1,after,4630,codex,0.0,0.0,640
1783227529.541539000,project_clean_rep1,after,20460,trustd,0.0,0.0,8320
1783227529.541539000,project_clean_rep1,after,20461,trustd,0.0,0.1,12256
1783227529.541539000,project_clean_rep1,after,20462,trustd,0.0,0.0,3344
1783227529.541539000,project_clean_rep1,after,22673,codex,0.0,0.0,2208
1783227529.541539000,project_clean_rep1,after,23030,codex,0.0,0.0,7792
1783227529.541539000,project_clean_rep1,after,36402,codex,0.0,0.0,672
1783227529.541539000,project_clean_rep1,after,46907,codex,0.0,0.0,4480
1783227529.541539000,project_clean_rep1,after,50555,syspolicyd,0.0,0.0,2560
1783227529.541539000,project_clean_rep1,after,88895,trustd,0.0,0.1,17152
1783227529.541539000,project_clean_rep1,after,89129,trustd,0.1,0.1,15264
1783227529.541539000,project_clean_rep1,after,97096,codex,0.4,2.2,365184
1783227529.541539000,project_clean_rep1,after,97226,codex,0.0,0.3,48720
1783227529.565571000,project_quarantined_rep1,before,512,syspolicyd,146.8,0.5,89520
1783227529.565571000,project_quarantined_rep1,before,909,codex,0.0,0.0,1616
1783227529.565571000,project_quarantined_rep1,before,4630,codex,0.0,0.0,640
1783227529.565571000,project_quarantined_rep1,before,20460,trustd,0.0,0.0,8320
1783227529.565571000,project_quarantined_rep1,before,20461,trustd,0.0,0.1,12256
1783227529.565571000,project_quarantined_rep1,before,20462,trustd,0.0,0.0,3344
1783227529.565571000,project_quarantined_rep1,before,22673,codex,0.0,0.0,2208
1783227529.565571000,project_quarantined_rep1,before,23030,codex,0.0,0.0,7792
