label,start_epoch,end_epoch,total,concurrency,failures,status,target_kind,workload
real_clean_rep1,1783237705.223423000,1783237705.713455000,20,5,0,ok,real-codex,codex-help
copy_clean_rep1,1783237705.757031000,1783237708.791124000,20,5,0,ok,single-copy-clean,codex-help
copy_quarantined_rep1,1783237708.834299000,1783237710.848285000,20,5,0,ok,single-copy-quarantined,codex-help
project_clean_rep1,1783237710.896041000,1783237742.952874000,20,5,0,ok,project-copies-clean,project-codex-help
project_quarantined_rep1,1783237743.016380000,1783237775.078364000,20,5,0,ok,project-copies-quarantined,project-codex-help
real_clean_rep2,1783237775.131243000,1783237775.446030000,20,5,0,ok,real-codex,codex-help
copy_clean_rep2,1783237775.496902000,1783237775.792882000,20,5,0,ok,single-copy-clean,codex-help
copy_quarantined_rep2,1783237775.843530000,1783237776.091322000,20,5,0,ok,single-copy-quarantined,codex-help
project_clean_rep2,1783237776.139010000,1783237778.288816000,20,5,0,ok,project-copies-clean,project-codex-help
project_quarantined_rep2,1783237778.336835000,1783237785.100251000,20,5,0,ok,project-copies-quarantined,project-codex-help
real_clean_rep3,1783237785.149848000,1783237785.297136000,20,5,0,ok,real-codex,codex-help
copy_clean_rep3,1783237785.353918000,1783237785.563469000,20,5,0,ok,single-copy-clean,codex-help
copy_quarantined_rep3,1783237785.609842000,1783237785.820564000,20,5,0,ok,single-copy-quarantined,codex-help
project_clean_rep3,1783237785.868041000,1783237786.020203000,20,5,0,ok,project-copies-clean,project-codex-help
project_quarantined_rep3,1783237786.068238000,1783237786.223884000,20,5,0,ok,project-copies-quarantined,project-codex-help
