epoch,label,phase,pid,comm,cpu,mem,rss_kb
1783238082.587649000,real_clean_rep1,before,512,syspolicyd,0.2,0.2,40736
1783238082.587649000,real_clean_rep1,before,909,codex,0.0,0.0,1616
1783238082.587649000,real_clean_rep1,before,4630,codex,0.0,0.0,640
1783238082.587649000,real_clean_rep1,before,20460,trustd,0.0,0.0,5184
1783238082.587649000,real_clean_rep1,before,20461,trustd,0.0,0.1,8704
1783238082.587649000,real_clean_rep1,before,20462,trustd,0.0,0.0,3344
1783238082.587649000,real_clean_rep1,before,22673,codex,0.0,0.0,2192
1783238082.587649000,real_clean_rep1,before,36402,codex,0.0,0.0,672
1783238082.587649000,real_clean_rep1,before,46907,codex,0.0,0.0,4480
1783238082.587649000,real_clean_rep1,before,67200,codex,0.0,0.0,7776
1783238082.587649000,real_clean_rep1,before,68417,syspolicyd,0.6,0.0,2560
1783238082.587649000,real_clean_rep1,before,88895,trustd,1.8,0.1,17328
1783238082.587649000,real_clean_rep1,before,89129,trustd,0.0,0.1,14912
1783238082.587649000,real_clean_rep1,before,97096,codex,0.0,1.8,307744
1783238082.587649000,real_clean_rep1,before,97226,codex,0.0,0.3,48832
1783238083.013817000,real_clean_rep1,after,512,syspolicyd,0.6,0.2,40736
1783238083.013817000,real_clean_rep1,after,909,codex,0.0,0.0,1616
1783238083.013817000,real_clean_rep1,after,4630,codex,0.0,0.0,640
1783238083.013817000,real_clean_rep1,after,20460,trustd,0.0,0.0,5184
1783238083.013817000,real_clean_rep1,after,20461,trustd,0.0,0.1,8704
1783238083.013817000,real_clean_rep1,after,20462,trustd,0.0,0.0,3344
1783238083.013817000,real_clean_rep1,after,22673,codex,0.0,0.0,2192
1783238083.013817000,real_clean_rep1,after,36402,codex,0.0,0.0,672
1783238083.013817000,real_clean_rep1,after,46907,codex,0.0,0.0,4480
1783238083.013817000,real_clean_rep1,after,67200,codex,0.0,0.0,7776
1783238083.013817000,real_clean_rep1,after,68417,syspolicyd,1.3,0.0,2560
1783238083.013817000,real_clean_rep1,after,88895,trustd,2.7,0.1,17328
1783238083.013817000,real_clean_rep1,after,89129,trustd,0.0,0.1,14912
1783238083.013817000,real_clean_rep1,after,97096,codex,0.1,1.8,307744
1783238083.013817000,real_clean_rep1,after,97226,codex,0.0,0.3,48832
1783238083.033185000,copy_clean_rep1,before,512,syspolicyd,0.6,0.2,40736
1783238083.033185000,copy_clean_rep1,before,909,codex,0.0,0.0,1616
1783238083.033185000,copy_clean_rep1,before,4630,codex,0.0,0.0,640
1783238083.033185000,copy_clean_rep1,before,20460,trustd,0.0,0.0,5184
1783238083.033185000,copy_clean_rep1,before,20461,trustd,0.0,0.1,8704
1783238083.033185000,copy_clean_rep1,before,20462,trustd,0.0,0.0,3344
1783238083.033185000,copy_clean_rep1,before,22673,codex,0.0,0.0,2192
1783238083.033185000,copy_clean_rep1,before,36402,codex,0.0,0.0,672
1783238083.033185000,copy_clean_rep1,before,46907,codex,0.0,0.0,4480
1783238083.033185000,copy_clean_rep1,before,67200,codex,0.0,0.0,7776
1783238083.033185000,copy_clean_rep1,before,68417,syspolicyd,1.3,0.0,2560
1783238083.033185000,copy_clean_rep1,before,88895,trustd,2.7,0.1,17328
1783238083.033185000,copy_clean_rep1,before,89129,trustd,0.0,0.1,14912
1783238083.033185000,copy_clean_rep1,before,97096,codex,0.1,1.8,307744
1783238083.033185000,copy_clean_rep1,before,97226,codex,0.0,0.3,48832
1783238085.737654000,copy_clean_rep1,after,512,syspolicyd,24.3,0.2,41840
1783238085.737654000,copy_clean_rep1,after,909,codex,0.0,0.0,1616
1783238085.737654000,copy_clean_rep1,after,4630,codex,0.0,0.0,640
1783238085.737654000,copy_clean_rep1,after,20460,trustd,0.0,0.0,5184
1783238085.737654000,copy_clean_rep1,after,20461,trustd,0.0,0.1,8704
1783238085.737654000,copy_clean_rep1,after,20462,trustd,0.0,0.0,3344
1783238085.737654000,copy_clean_rep1,after,22673,codex,0.0,0.0,2192
1783238085.737654000,copy_clean_rep1,after,36402,codex,0.0,0.0,672
1783238085.737654000,copy_clean_rep1,after,46907,codex,0.0,0.0,4480
1783238085.737654000,copy_clean_rep1,after,67200,codex,0.0,0.0,7744
1783238085.737654000,copy_clean_rep1,after,68417,syspolicyd,1.1,0.0,2560
1783238085.737654000,copy_clean_rep1,after,88895,trustd,4.5,0.1,17312
1783238085.737654000,copy_clean_rep1,after,89129,trustd,2.5,0.1,14928
1783238085.737654000,copy_clean_rep1,after,97096,codex,0.2,1.8,307712
1783238085.737654000,copy_clean_rep1,after,97226,codex,0.0,0.3,48816
1783238085.756947000,copy_quarantined_rep1,before,512,syspolicyd,24.3,0.2,41840
1783238085.756947000,copy_quarantined_rep1,before,909,codex,0.0,0.0,1616
1783238085.756947000,copy_quarantined_rep1,before,4630,codex,0.0,0.0,640
1783238085.756947000,copy_quarantined_rep1,before,20460,trustd,0.0,0.0,5184
1783238085.756947000,copy_quarantined_rep1,before,20461,trustd,0.0,0.1,8704
1783238085.756947000,copy_quarantined_rep1,before,20462,trustd,0.0,0.0,3344
1783238085.756947000,copy_quarantined_rep1,before,22673,codex,0.0,0.0,2192
1783238085.756947000,copy_quarantined_rep1,before,36402,codex,0.0,0.0,672
1783238085.756947000,copy_quarantined_rep1,before,46907,codex,0.0,0.0,4480
1783238085.756947000,copy_quarantined_rep1,before,67200,codex,0.0,0.0,7744
1783238085.756947000,copy_quarantined_rep1,before,68417,syspolicyd,1.1,0.0,2560
1783238085.756947000,copy_quarantined_rep1,before,88895,trustd,4.5,0.1,17312
1783238085.756947000,copy_quarantined_rep1,before,89129,trustd,2.5,0.1,14928
1783238085.756947000,copy_quarantined_rep1,before,97096,codex,0.2,1.8,307712
1783238085.756947000,copy_quarantined_rep1,before,97226,codex,0.0,0.3,48816
1783238088.365203000,copy_quarantined_rep1,after,512,syspolicyd,23.5,0.2,41888
1783238088.365203000,copy_quarantined_rep1,after,909,codex,0.0,0.0,1616
1783238088.365203000,copy_quarantined_rep1,after,4630,codex,0.0,0.0,640
