suite,run,condition,max_syspolicyd_cpu_percent,max_syspolicyd_rss_kb
main,baseline,project_quarantined,146.8,89520
main,baseline,copy_quarantined,141.3,189264
main,baseline,copy_clean,141.3,130208
main,baseline,project_clean,136.3,321648
main,baseline,real_clean,65.7,68848
main,renice_plus10,project_quarantined,271.0,198464
main,renice_plus10,copy_quarantined,42.6,47808
main,renice_plus10,copy_clean,108.8,47824
main,renice_plus10,project_clean,113.3,195696
main,renice_plus10,real_clean,172.7,47856
main,renice_plus19,project_quarantined,184.4,165952
main,renice_plus19,copy_quarantined,179.4,284352
main,renice_plus19,copy_clean,179.4,284352
main,renice_plus19,project_clean,108.4,115104
main,renice_plus19,real_clean,184.4,224288
main,after_syspolicyd_restart,project_quarantined,141.2,353024
main,after_syspolicyd_restart,copy_quarantined,134.5,320400
main,after_syspolicyd_restart,copy_clean,126.9,281264
main,after_syspolicyd_restart,project_clean,154.1,349200
main,after_syspolicyd_restart,real_clean,126.4,226752
case-study,case_study_extras,tiny_many_clean,9.2,87264
case-study,case_study_extras,tiny_same_quarantined,12.6,87376
case-study,case_study_extras,real_codex_temp_quarantined_path,9.2,96112
case-study,case_study_extras,real_codex_clean_path,10.6,96112
case-study,case_study_extras,tiny_many_quarantined,12.6,87264
case-study,case_study_extras,tiny_same_clean,12.6,87376
