suite,run,condition,avg_seconds,min_seconds,max_seconds,reps,total_per_rep,concurrency
main,baseline,project_quarantined,11.747,0.159,32.077,3,20,5
main,baseline,copy_quarantined,0.770,0.146,1.902,3,20,5
main,baseline,copy_clean,0.963,0.145,2.479,3,20,5
main,baseline,project_clean,10.926,0.151,32.075,3,20,5
main,baseline,real_clean,0.265,0.147,0.400,3,20,5
main,renice_plus10,project_quarantined,12.994,0.156,32.062,3,20,5
main,renice_plus10,copy_quarantined,0.824,0.211,2.014,3,20,5
main,renice_plus10,copy_clean,1.180,0.210,3.034,3,20,5
main,renice_plus10,project_clean,11.453,0.152,32.057,3,20,5
main,renice_plus10,real_clean,0.317,0.147,0.490,3,20,5
main,renice_plus19,project_quarantined,11.737,0.155,32.069,3,20,5
main,renice_plus19,copy_quarantined,0.986,0.145,2.585,3,20,5
main,renice_plus19,copy_clean,1.027,0.141,2.680,3,20,5
main,renice_plus19,project_clean,10.898,0.151,32.073,3,20,5
main,renice_plus19,real_clean,0.266,0.144,0.396,3,20,5
main,after_syspolicyd_restart,project_quarantined,11.321,0.153,32.080,3,20,5
main,after_syspolicyd_restart,copy_quarantined,1.151,0.142,3.095,3,20,5
main,after_syspolicyd_restart,copy_clean,1.551,0.138,4.284,3,20,5
main,after_syspolicyd_restart,project_clean,10.904,0.149,32.077,3,20,5
main,after_syspolicyd_restart,real_clean,0.191,0.146,0.256,3,20,5
case-study,case_study_extras,tiny_many_clean,1.262,0.095,5.911,5,100,10
case-study,case_study_extras,tiny_same_quarantined,49.383,45.602,50.343,5,100,10
case-study,case_study_extras,real_codex_temp_quarantined,1.806,0.542,2.696,3,100,10
case-study,case_study_extras,real_codex_clean,1.632,0.538,2.199,3,100,10
case-study,case_study_extras,tiny_many_quarantined,50.321,50.308,50.331,5,100,10
case-study,case_study_extras,tiny_same_clean,0.224,0.099,0.443,5,100,10
